User,times,health_values,amm_prices,lower_band,upper_band,user_state
0xda9550086Cd641F515654a857Dd357E982589CFD,17557475,,,,,
0xda9550086Cd641F515654a857Dd357E982589CFD,17558675,,,,,
0xda9550086Cd641F515654a857Dd357E982589CFD,17559875,,,,,
0xda9550086Cd641F515654a857Dd357E982589CFD,17561075,,,,,
0xda9550086Cd641F515654a857Dd357E982589CFD,17562276,,,,,
0xda9550086Cd641F515654a857Dd357E982589CFD,17563476,,,,,
0xda9550086Cd641F515654a857Dd357E982589CFD,17564676,,,,,
0xda9550086Cd641F515654a857Dd357E982589CFD,17565877,,,,,
0xda9550086Cd641F515654a857Dd357E982589CFD,17567077,,,,,
0xda9550086Cd641F515654a857Dd357E982589CFD,17568277,,,,,
0xda9550086Cd641F515654a857Dd357E982589CFD,17569478,,,,,
0xda9550086Cd641F515654a857Dd357E982589CFD,17570678,7.129256877508973,31431.221919845444,29900.48484670964,29305.46519826012,0.0
0xda9550086Cd641F515654a857Dd357E982589CFD,17571878,6.861590405402966,31215.13955562943,29900.48484670964,29305.46519826012,0.0
0xda9550086Cd641F515654a857Dd357E982589CFD,17573079,3.853905210825917,30647.535199909376,30815.743236579285,30202.509946171358,0.0
0xda9550086Cd641F515654a857Dd357E982589CFD,17574279,3.3054244620725446,30145.543570813712,30815.743236579285,30202.509946171358,0.0
0xda9550086Cd641F515654a857Dd357E982589CFD,17575479,3.2635535886586693,29904.79762263403,30815.743236579285,30202.509946171358,0.0
0xda9550086Cd641F515654a857Dd357E982589CFD,17576680,3.2640258146467405,29967.386734493328,30815.743236579285,30202.509946171358,0.9999999999999801
0xda9550086Cd641F515654a857Dd357E982589CFD,17577880,14.767299949810347,30112.595260017617,30815.743236579285,30202.509946171358,0.9999999999999801
0xda9550086Cd641F515654a857Dd357E982589CFD,17579080,14.672115642306254,30487.539412542286,30815.743236579285,30202.509946171358,0.999999999999988
0xda9550086Cd641F515654a857Dd357E982589CFD,17580281,14.44832988554384,29948.072994941394,30815.743236579285,30202.509946171358,0.9999999999999957
0xda9550086Cd641F515654a857Dd357E982589CFD,17581481,14.42527892319275,30191.19972703786,30815.743236579285,30202.509946171358,0.9999999999999957
0xda9550086Cd641F515654a857Dd357E982589CFD,17582681,14.429574480693974,30113.356903880278,30815.743236579285,30202.509946171358,0.9999999999999944
0xda9550086Cd641F515654a857Dd357E982589CFD,17583882,14.239112858822914,30600.323549804387,30815.743236579285,30202.509946171358,0.9999999999999922
0xda9550086Cd641F515654a857Dd357E982589CFD,17585082,13.991083652178043,30809.13086320954,30815.743236579285,30202.509946171358,0.9999999999990411
0xda9550086Cd641F515654a857Dd357E982589CFD,17586282,13.98208205428971,30357.290284688173,30815.743236579285,30202.509946171358,0.9999999999990411
0xda9550086Cd641F515654a857Dd357E982589CFD,17587483,13.88768615451626,30060.748905123648,30815.743236579285,30202.509946171358,0.9999999999990411
0xda9550086Cd641F515654a857Dd357E982589CFD,17588683,13.911991076266844,30631.232962431946,30815.743236579285,30202.509946171358,0.9999999999999801
0xda9550086Cd641F515654a857Dd357E982589CFD,17589883,13.598056348138782,32104.438961239044,30815.743236579285,30202.509946171358,0.999999999980355
0xda9550086Cd641F515654a857Dd357E982589CFD,17591084,13.598484202493905,31370.34740093463,30815.743236579285,30202.509946171358,0.999999999980355
0xda9550086Cd641F515654a857Dd357E982589CFD,17592284,13.598064759095188,32089.67694301682,30815.743236579285,30202.509946171358,0.999999999980355
0xda9550086Cd641F515654a857Dd357E982589CFD,17593484,12.72976499501354,31005.140107992538,30815.743236579285,30202.509946171358,0.999999999999993
0xda9550086Cd641F515654a857Dd357E982589CFD,17594685,12.702080593889642,30467.960028076483,30815.743236579285,30202.509946171358,0.9999999999999726
0xda9550086Cd641F515654a857Dd357E982589CFD,17595885,12.659160239152117,30693.331188844953,30815.743236579285,30202.509946171358,0.9999999999999726
0xda9550086Cd641F515654a857Dd357E982589CFD,17597085,12.699599723756188,30284.44785306028,30815.743236579285,30202.509946171358,0.9999999999999726
0xda9550086Cd641F515654a857Dd357E982589CFD,17598286,12.704695028564258,30394.54693290694,30815.743236579285,30202.509946171358,0.9999999999999726
0xda9550086Cd641F515654a857Dd357E982589CFD,17599486,12.620085380332515,30804.307121652233,30815.743236579285,30202.509946171358,0.9999999999999726
0xda9550086Cd641F515654a857Dd357E982589CFD,17600686,12.627371824787831,30673.160823209673,30815.743236579285,30202.509946171358,0.999999999999886
0xda9550086Cd641F515654a857Dd357E982589CFD,17601887,12.624336595536287,30702.424876836045,30815.743236579285,30202.509946171358,0.999999999999886
0xda9550086Cd641F515654a857Dd357E982589CFD,17603087,12.61603333767389,30782.76676514422,30815.743236579285,30202.509946171358,0.999999999999886
0xda9550086Cd641F515654a857Dd357E982589CFD,17604287,12.64072716349491,30508.335811107096,30815.743236579285,30202.509946171358,0.999999999999886
0xda9550086Cd641F515654a857Dd357E982589CFD,17605488,12.642017706986945,30500.14058534298,30815.743236579285,30202.509946171358,0.9999999999998777
0xda9550086Cd641F515654a857Dd357E982589CFD,17606688,12.637772969799627,30586.400774623464,30815.743236579285,30202.509946171358,0.9999999999998777
0xda9550086Cd641F515654a857Dd357E982589CFD,17607888,12.628478824311076,30682.18231238307,30815.743236579285,30202.509946171358,0.9999999999998777
0xda9550086Cd641F515654a857Dd357E982589CFD,17609089,12.617105026617715,30799.962893461216,30815.743236579285,30202.509946171358,0.9999999999998777
0xda9550086Cd641F515654a857Dd357E982589CFD,17610289,12.597786465210623,31002.102655856903,30815.743236579285,30202.509946171358,0.9999999999998777
0xda9550086Cd641F515654a857Dd357E982589CFD,17611489,12.597243260850943,31107.05703775036,30815.743236579285,30202.509946171358,0.9999999999988115
0xda9550086Cd641F515654a857Dd357E982589CFD,17612690,12.598001471257309,31030.78801212988,30815.743236579285,30202.509946171358,0.9999999999988115
0xda9550086Cd641F515654a857Dd357E982589CFD,17613890,13.28183052929467,30734.402994221244,30815.743236579285,30202.509946171358,0.0
0xda9550086Cd641F515654a857Dd357E982589CFD,17615090,14.465413788575246,31631.336198674067,30815.743236579285,30202.509946171358,0.0
0xda9550086Cd641F515654a857Dd357E982589CFD,17616291,14.67718182400001,31161.41251342721,30815.743236579285,30202.509946171358,0.0
0xda9550086Cd641F515654a857Dd357E982589CFD,17617491,15.264313764035139,31605.623613120686,30815.743236579285,30202.509946171358,0.0
0xda9550086Cd641F515654a857Dd357E982589CFD,17618691,14.6585589570282,30528.794093350218,30815.743236579285,30202.509946171358,0.0
0xda9550086Cd641F515654a857Dd357E982589CFD,17619892,14.428083642046765,30923.91181747581,30815.743236579285,30202.509946171358,0.0
0xda9550086Cd641F515654a857Dd357E982589CFD,17621092,14.582253888399283,31039.439970687992,30815.743236579285,30202.509946171358,0.0
0xda9550086Cd641F515654a857Dd357E982589CFD,17622292,3.718837322556132,30821.15351971449,31127.013370282108,30507.585804213493,0.0
0xda9550086Cd641F515654a857Dd357E982589CFD,17623493,11.94457635682755,30676.50586098528,29012.41054627752,28435.063576406596,0.0
0xda9550086Cd641F515654a857Dd357E982589CFD,17624693,12.068925451204096,30771.846427404787,29012.41054627752,28435.063576406596,0.0
0xda9550086Cd641F515654a857Dd357E982589CFD,17625893,12.110462249925554,30804.193225579307,29012.41054627752,28435.063576406596,0.0
0xda9550086Cd641F515654a857Dd357E982589CFD,17627094,11.737186399749229,30521.14301969377,29012.41054627752,28435.063576406596,0.0
0xda9550086Cd641F515654a857Dd357E982589CFD,17628294,10.250492547325942,30235.906326268785,29012.41054627752,28435.063576406596,0.0
0xda9550086Cd641F515654a857Dd357E982589CFD,17629494,10.839021424243342,30684.254992351227,29012.41054627752,28435.063576406596,0.0
0xda9550086Cd641F515654a857Dd357E982589CFD,17630695,10.78945822381844,30646.632702732077,29012.41054627752,28435.063576406596,0.0
0xda9550086Cd641F515654a857Dd357E982589CFD,17631895,10.906217522789042,30736.259137686837,29012.41054627752,28435.063576406596,0.0
0xda9550086Cd641F515654a857Dd357E982589CFD,17633095,11.343283033246273,30838.15820536495,29012.41054627752,28435.063576406596,0.0
0xda9550086Cd641F515654a857Dd357E982589CFD,17634296,13.379605220584336,31096.695599494193,29012.41054627752,28435.063576406596,0.0
0xda9550086Cd641F515654a857Dd357E982589CFD,17635496,9.474161138523266,29834.54057839207,29012.41054627752,28435.063576406596,0.0
0xda9550086Cd641F515654a857Dd357E982589CFD,17636696,10.045596842142425,30255.398912546156,29012.41054627752,28435.063576406596,0.0
